company,date,title,body,url,image,source
"Unaliwear",2024-02-15T08:19:00+00:00,UnaliWear Medical Alert Watch Review In 2025,"Our editors also may be in touch with follow-up questions. The water-resistant UnaliWear Kanega Watch is a medical alert device that provides automatic fall detection, 24/7 monitoring and ...",https://www.forbes.com/health/medical-alert-systems/unaliwear-review/,,Forbes
"Unaliwear",2025-05-13T00:00:00+00:00,UnaliWear Kanega Watch Reviews,The UnaliWear Kanega Watch is a more discreet alternative to traditional medical alert devices. The watch weighs 49 grams (about 1.7 ounces). It's 1.6 inches in diameter and 0.5 inches thick.,https://www.consumeraffairs.com/medical-alert-systems/unaliwear-kanega-watch.html,,ConsumerAffairs
"BrainCheck",2023-10-24T09:00:00+00:00,BrainCheck Expands First End-to-End Solution for Cognitive Care,Company introduces next generation of its comprehensive platform and 3-minute screening tool at Clinical Trials on Alzheimer's Disease (CTAD) conference New research supporting BrainCheck platform ...,https://finance.yahoo.com/news/braincheck-expands-first-end-end-130000828.html,,Yahoo Finance
"BrainCheck",2022-11-14T09:05:00+00:00,BrainCheck Awarded $1.5M Grant by US Small Business Innovation Research (SBIR) Program to Measure Effectiveness of Digital Cognitive Care Management Platform,"LAS VEGAS--(BUSINESS WIRE)--BrainCheck Inc., developer of the innovative digital cognitive assessment and care management platform, today announced a $1.5M grant award from the Small Business ...",https://www.businesswire.com/news/home/20221114005009/en/BrainCheck-Awarded-1.5M-Grant-by-US-Small-Business-Innovation-Research-SBIR-Program-to-Measure-Effectiveness-of-Digital-Cognitive-Care-Management-Platform,,Business Wire
"Dermala",2021-10-12T07:00:00+00:00,"DERMALA, A Consumer Dermatology Company, Announces Several Additions to a Successful Acne Product Range","SAN DIEGO, Oct. 12, 2021 /PRNewswire/ -- DERMALA, the only personalized, clinically proven treatment for acne powered by the human microbiome extends its product line-up with the addition of six ...",https://markets.businessinsider.com/news/stocks/dermala-a-consumer-dermatology-company-announces-several-additions-to-a-successful-acne-product-range-1030858579,,Business Insider
"Dermala",2021-10-26T07:00:00+00:00,"DERMALA, A Consumer Dermatology Company, Announces Issuance of the Second U.S. Patent Covering the Use of Novel Human Microbiome Technology for Treating Acne Vulgaris","SAN DIEGO, Oct. 26, 2021 /PRNewswire/ -- DERMALA, a consumer dermatology company developing novel, personalized, microbiome-powered solutions for chronic skin conditions, announced today the ...",https://markets.businessinsider.com/news/stocks/dermala-a-consumer-dermatology-company-announces-issuance-of-the-second-u-s-patent-covering-the-use-of-novel-human-microbiome-technology-for-treating-acne-vulgaris-1030899083,,Business Insider
"Oralucent","2025-06-06","No news",,,,
"Flowly",2023-03-13T08:05:00+00:00,"Flowly, VR-enabled app to manage chronic pain and stress, rolls out program for providers","Flowly, an app for autonomic nervous system regulation, has launched a program for providers, the company has shared exclusively with Fierce Healthcare. Through the program, providers will receive ...",https://www.fiercehealthcare.com/digital-health/relaxation-app-vr-startup-flowly-rolls-out-program-providers,,Fierce Healthcare
"Flowly",2020-06-09T08:05:00+00:00,Flowly Offers Relief to 100 Million Americans Living with Chronic Pain and Anxiety,LOS ANGELES--(BUSINESS WIRE)--Flowly today officially launched its interactive mobile app to address chronic pain and anxiety. The platform offers immersive experiences in beautiful and peaceful ...,https://www.businesswire.com/news/home/20200609005289/en/Flowly-Offers-Relief-to-100-Million-Americans-Living-with-Chronic-Pain-and-Anxiety,,Business Wire
"Rosy Wellness",2025-06-04T12:00:00+00:00,Daré Bioscience and Rosy Wellness Announce Strategic Collaboration to Educate and Market Daré's DARE to PLAY Sildenafil Cream,"Collaboration will leverage Rosy Wellness' extensive reach and community of over 250,000 women Rosy Wellness is a multi-award winning app recommended by 8,000+ healthcare professionals Daré expects to start recording revenue in the 4th quarter this year SAN DIEGO,",https://finance.yahoo.com/news/dar-bioscience-rosy-wellness-announce-120000637.html,https://s.yimg.com/ny/api/res/1.2/IIZPSsivGxnOci.U38XKUA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDU-/https://media.zenfs.com/en/globenewswire.com/bb1d1625b47c6718857f64e784f0f2e4,Yahoo Finance
"Rosy Wellness",2025-06-04T08:07:00+00:00,Daré Bioscience partners with Rosy Wellness for new women's health cream,"Rosy Wellness, with its community of over 250,000 women and recommendation by more than 8,000 healthcare professionals, will leverage its digital reach and content-driven model to support the launch.",https://www.investing.com/news/company-news/dare-bioscience-partners-with-rosy-wellness-for-new-womens-health-cream-93CH-4080414,,Investing
